"route_id","schedule_date","car_type","route_distance_km","route_minutes","total_orders"
"569420","2019-07-02 16:40:00","Particular","45.278","204.87","13"
"569530","2019-07-02 09:00:00","Particular","84.082","354.12","25"
"569540","2019-07-02 09:00:00","Particular","110.304","482.28","37"
"569550","2019-07-02 09:00:00","Fiorino S.C.","61.024","279.97","18"
"569560","2019-07-02 09:00:00","Particular","66.632","446.17","47"
"569580","2019-07-02 09:00:00","Particular","102.282","511.73","36"
"569590","2019-07-02 09:00:00","Particular","67.961","472","45"
"569610","2019-07-02 08:00:00","Particular","262.560","515.07","18"
"569620","2019-07-02 08:00:00","Particular","107.951","423.62","13"
"569630","2019-07-02 08:00:00","Particular","131.632","486.17","21"
"569640","2019-07-02 08:00:00","Particular","56.550","300.48","13"
"569650","2019-07-02 08:00:00","Particular","64.179","342.65","18"
"569660","2019-07-02 08:00:00","Particular","117.220","488.03","19"
"569670","2019-07-02 08:00:00","Particular","55.327","451.1","25"
"569680","2019-07-02 08:00:00","Particular","64.115","397.6","23"
"569690","2019-07-02 08:00:00","Particular","49.162","466.02","28"
"569700","2019-07-02 08:00:00","Particular","67.222","475.6","49"
"569710","2019-07-02 08:00:00","Particular","33.045","331.65","38"
"569720","2019-07-02 08:00:00","Particular","41.281","403.67","51"
"569730","2019-07-02 08:00:00","Particular","48.972","425.5","51"
"569740","2019-07-02 08:00:00","Particular","25.863","180.08","19"
"569750","2019-07-02 08:00:00","Particular","47.420","420.6","51"
"569760","2019-07-02 08:00:00","Particular","31.479","337.57","51"
"569770","2019-07-02 08:00:00","Particular","51.002","398.8","48"
"569780","2019-07-02 08:00:00","Particular","36.402","363.4","42"
"569790","2019-07-02 08:00:00","Particular","134.044","853.48","85"
"569800","2019-07-02 08:00:00","Fiorino","56.533","399.02","40"
"569810","2019-07-02 08:00:00","Fiorino","27.341","227.6","33"
"569820","2019-07-02 08:00:00","Particular","113.519","607.85","54"
"569830","2019-07-02 08:00:00","Fiorino","40.525","395.62","46"
"569840","2019-07-02 08:00:00","Particular","39.758","451.18","60"
"569850","2019-07-02 08:00:00","Fiorino","56.044","612.75","74"
"569870","2019-07-02 08:00:00","Particular","98.638","403.38","36"
"569880","2019-07-02 08:00:00","Particular","182.926","635.07","48"
"569890","2019-07-02 08:00:00","Particular","81.152","376.17","34"
"569900","2019-07-02 08:00:00","Particular","101.604","391.95","34"
"569910","2019-07-02 08:00:00","Bloqueado","80.015","578.22","69"
"569920","2019-07-02 08:00:00","Particular","50.009","404.52","54"
"569930","2019-07-02 08:00:00","Particular","133.688","643.7","64"
"569940","2019-07-02 08:00:00","Particular","48.356","410.28","51"
"569950","2019-07-02 08:00:00","Particular","122.816","518.82","49"
